time,imu_roll,imu_pitch,imu_yaw,gyro_roll_rate,gyro_pitch_rate,gyro_yaw_rate,gps_x,gps_y,gps_altitude,motor_fl,motor_fr,motor_rl,motor_rr,target_altitude,current_altitude,roll_disturbance,pitch_disturbance,yaw_disturbance
0.008,-4.615679991084151e-20,-5.559703648971096e-19,3.141590777218456,-5.7376950740937945e-18,-6.911199281956714e-17,1.4215840790187042e-17,0.0,-1.9905274260476058e-20,0.09937216000000001,576,576,576,576,1.0,0.09937216000000001,0,0,0
0.016,9.362230210162204e-10,6.246723797438764e-10,3.141590777295125,1.1638073320597934e-07,7.765225592974723e-08,9.530600813674865e-09,-2.274833099669138e-11,2.9472407970637773e-11,0.09811995937527307,78.30142572990216,78.30142605628593,78.30142553711731,78.30142586350108,1.0,0.09811995937527307,0,0,0
0.024,5.612031688044933e-09,3.749859396721265e-09,3.1415907776780285,5.812440291188551e-07,3.884881576444482e-07,4.759827762408758e-08,-1.3655601649453786e-10,1.766676909461348e-10,0.09624687331204512,78.70820969553532,78.70821141922653,78.70820869356743,78.70821041725864,1.0,0.09624687331204512,0,0,0
0.032,1.8687475088027323e-08,1.2500888916683943e-08,3.141590778748769,1.6253922993506872e-06,1.0878297269648565e-06,1.3310239642727127e-07,-4.5523612657305534e-10,5.882858598017637e-10,0.09375637283003052,79.11899797604914,79.11900309558126,79.11899505033637,79.11900016986849,1.0,0.09375637283003052,0,0,0
0.04,4.666902369660367e-08,3.124557892300386e-08,3.141590781040143,3.4783519143332578e-06,2.3301293883470123e-06,2.848378379327914e-07,-1.137849231502841e-09,1.469154499345008e-09,0.09065192480548259,79.53375822298133,79.53376984658752,79.53375168798783,79.53376331159402,1.0,0.09065192480548259,0,0,0
0.048,9.789936106579906e-08,6.5587288718433e-08,3.1415907852353087,6.368380255342209e-06,4.268975779294274e-06,5.214955734269904e-07,-2.3884525190975836e-09,3.0819105149903593e-09,0.08693699199411548,79.95245806040944,79.95248058710607,79.95244558722055,79.95246811391718,1.0,0.08693699199411548,0,0,0
0.056,2.1536146803947046e-06,-0.0344437463783391,3.141590755254745,0.00025547925553283277,-4.282091292869109,1.093747272648585e-06,0.0024525719166473836,1.4512782279690894e-07,0.08679823239426263,72.40297558175654,72.40370190173563,83.03378295019509,83.03450927017418,1.0,0.08679823239426263,0,0,0
0.064,-2.374828820741648e-07,-0.06868396477627811,-3.141590442263963,-0.0002708999453517071,-4.256775362651341,0.0005143409374048679,0.004959216831780439,-1.1728536875592777e-07,0.08598618620580004,71.83065547388092,71.83008992570201,84.46524408576029,84.46467853758138,1.0,0.08598618620580004,0,0,0
0.07200000000000001,-7.043380132591838e-06,-0.10272608823764186,-3.1415821555424333,-0.0007578421997186776,-4.232143251502398,0.0010110730797956297,0.007517629826125291,-7.67174911826814e-07,0.08450343115089817,71.26887171037934,71.26665168796664,85.89672350764265,85.89450348522995,1.0,0.08450343115089817,0,0,0
0.08,-6.320863113227444e-06,-0.08138861211994201,-3.1415827249062405,8.330849601115284e-05,2.6525360743663042,-5.275666795030231e-05,0.006042059364459673,-6.675953145028643e-07,0.0845100155173869,77.86189506119838,77.86142959187909,77.44013963966229,77.439674170343,1.0,0.0845100155173869,0,0,0
0.088,-5.834785003288452e-06,-0.07464677144352375,-3.1415828011005873,5.9685563349383475e-05,0.8380731037456369,-4.349207216687441e-06,0.005605255294928266,-6.428239695246181e-07,0.08553459055472254,75.60319671024472,75.60273260287109,78.40585678936488,78.40539268199124,1.0,0.08553459055472254,0,0,0
0.096,-5.399690579874383e-06,-0.06794066305216816,-3.1415827684308075,5.437534327278764e-05,0.8336312170172553,8.73355109522576e-06,0.005173771428471016,-6.261864388503766e-07,0.08592449301131985,76.19269296915141,76.19226175077998,78.601870318247,78.60143909987556,1.0,0.08592449301131985,0,0,0
0.10400000000000001,-4.954841226769096e-06,-0.061271700376840744,-3.1415826164174625,5.651867074023039e-05,0.8290136270057064,2.3149297866410954e-05,0.004747632282320516,-6.161808547976229e-07,0.0856836374029731,76.78475222027807,76.78436977349686,78.80302698887711,78.8026445420959,1.0,0.0856836374029731,0,0,0
0.112,-4.655699372544073e-06,-0.06360458582602942,-3.1415826213000018,3.714808451198395e-05,-0.28999825478527436,-1.999280128070677e-06,0.004902343013649377,-5.940044810541633e-07,0.08584590013383818,75.34218659918892,75.34179532542069,79.73845825832123,79.738066984553,1.0,0.08584590013383818,0,0,0
0.12,-3.602564477676596e-06,-0.06808781746699065,-3.1415826692444355,0.0001305217494279273,-0.5573059492025783,-8.248202797555256e-06,0.005199552492795315,-5.200987137582838e-07,0.085628837404067,75.17948496532848,75.17938575237956,80.37936591175308,80.37926669880416,1.0,0.085628837404067,0,0,0
0.128,-2.678528459346219e-06,-0.07607335966660635,-3.14158270619702,0.00011453496150520793,-0.992678212426454,-7.69919103246774e-06,0.005727966121491887,-4.5207276483668175e-07,0.0851883286399566,74.64857508020626,74.64853629728333,81.19833308505554,81.19829430213261,1.0,0.0851883286399566,0,0,0
0.136,-1.8900972510675634e-06,-0.0726014310757462,-3.1415827665613167,9.745161355052474e-05,0.43159160998197804,-6.497208853904915e-06,0.005497457570195069,-4.025082656571578e-07,0.08542172007083301,75.7534588859525,75.75346477945449,79.24636153053332,79.24636742403531,1.0,0.08542172007083301,0,0,0
0.14400000000000002,-1.3064573687684957e-06,-0.07198357673442368,-3.1415828081294204,7.217832619813384e-05,0.07680471633026179,-5.031028183599926e-06,0.005456905444438026,-3.646065529122866e-07,0.08548287956865644,75.52423707701362,75.52425078792913,79.68964224841852,79.68965595933403,1.0,0.08548287956865644,0,0,0
0.152,-8.241160142021161e-07,-0.07153256370526559,-3.141582844164488,5.9638098329213445e-05,0.056064876352674584,-4.408221960454315e-06,0.005427191665545339,-3.331808477685595e-07,0.08552841236155809,75.52632741371796,75.52636427831321,79.70615148332855,79.7061883479238,1.0,0.08552841236155809,0,0,0
0.16,-4.367425257160827e-07,-0.07117295156394882,-3.141582871608735,4.791070454816178e-05,0.044702943837913144,-3.3746977632301085e-06,0.005403526334302161,-3.0799135048992663e-07,0.08556470703647817,75.53115708115129,75.53120922830783,79.7121282873124,79.71218043446893,1.0,0.08556470703647817,0,0,0
