x                       ,y                       ,z
                        ,                        ,
-2.8435413745864224e-09 ,3.684050998817881e-09   ,-0.1565250780908682
-1.422596068723081e-08  ,1.8399410371937127e-08  ,-0.23413575790349334
-3.9835013759814686e-08 ,5.145227110695361e-08   ,-0.3113125602518252
-8.532663811622321e-08  ,1.1010857994290554e-07  ,-0.3880560030684911
-1.5632541094934282e-07 ,2.015945019556689e-07   ,-0.46436660142088954
0.3065717881374878      ,1.7755739035239823e-05  ,-0.017344949981606267
0.31333061439163185     ,-3.280164894410459e-05  ,-0.1015057735578237
0.31980162429310655     ,-8.123619288386079e-05  ,-0.1853443818627329
-0.18444630770820222    ,1.2447449665493715e-05  ,0.0008230458110915218
-0.05460050869142592    ,3.0964181222807707e-06  ,0.1280718796669543
-0.053935483307156196   ,2.0796913342801963e-06  ,0.04873780707466413
-0.05326739326881255    ,1.2506980065942098e-06  ,-0.030106951043343266
0.019338841416107616    ,2.7720467179324484e-06  ,0.020282841358134143
0.037151184893242234    ,9.23822091198494e-06    ,-0.027132841221397253
0.06605170358707155     ,8.503243615200256e-06   ,-0.05506359551380076
-0.028813568912102253   ,6.1955623974404956e-06  ,0.029173928859552167
-0.005069015719630365   ,4.737714093108899e-06   ,0.007644937227928306
-0.0037142223615858894  ,3.928213142965886e-06   ,0.005691599112706003
-0.002958166405397228   ,3.1486871598291086e-06  ,0.004536834365010539
-0.002364114808167672   ,2.5215651980160385e-06  ,0.0036244650124042654
-0.0018894308531341303  ,2.019134921544817e-06   ,0.0028960981271908964
-0.001510046085898692   ,1.6167790377129504e-06  ,0.002314372018374228
-0.0012068486222403113  ,1.2945853187448668e-06  ,0.0018497157608220877
-0.0009645495695903561  ,1.0365906256796333e-06  ,0.001478545691449562
-0.0007709223159863693  ,8.300055050630418e-07   ,0.0011820408903663593
-0.0006161923309776912  ,6.645868837499396e-07   ,0.0009451764585131917
-0.0004925469127992771  ,5.321317608540879e-07   ,0.0007559551047971874
-0.0003937421381335071  ,4.2607137359605693e-07  ,0.0006047954089812707
-0.000314788151862741   ,3.4114619553338996e-07  ,0.0004840443812333117
-0.0002516974250132975  ,2.7314450581595314e-07  ,0.0003875887311828585
-0.00020128345275260973 ,2.1869419647115682e-07  ,0.00031054474589238545
-0.00016099985277948092 ,1.7509483650544948e-07  ,0.0002490107700609673
-0.00012881177206998384 ,1.4018440288569482e-07  ,0.0001998695790244448
-0.0001030931182626621  ,1.1223138402659205e-07  ,0.00016063060001743346
-8.254444232476399e-05  ,8.984958578819121e-08   ,0.0001293038734348495
-6.61273192904821e-05   ,7.192873757734386e-08   ,0.00010429939923881082
-5.30119060246359e-05   ,5.757992394324213e-08   ,8.43467357417027e-05
-4.25350478051173e-05   ,4.609150970846691e-08   ,6.843074817214356e-05
-3.4166788721173846e-05 ,3.689318378359522e-08   ,5.57403097567466e-05
-2.748361851989678e-05  ,2.9528889756669746e-08  ,4.5627285628555e-05
-2.2147092736124474e-05 ,2.3632784082136144e-08  ,3.75737809286264e-05
-1.788673974559285e-05  ,1.8912583552225196e-08  ,3.116597428395873e-05
-1.4486417614090197e-05 ,1.5133576285585528e-08  ,2.6073188080788512e-05
-1.1773390665159589e-05 ,1.2108489427106668e-08  ,2.2031199194832984e-05
-9.609620871611768e-06  ,9.686701607591583e-09   ,1.8828869846956864e-05
-7.88479259140884e-06   ,7.748267947194607e-09   ,1.629748712719814e-05
-6.5107458001312235e-06 ,6.196522726401823e-09   ,1.4302243436445372e-05
-5.417029184592859e-06  ,4.9545328772921174e-09  ,1.273540953250496e-05
-4.547337366031523e-06  ,3.96053781080321e-09    ,1.1510910967460486e-05
-3.856676944816173e-06  ,3.1649457731291385e-09  ,1.0559962014197732e-05
-3.309089146794064e-06  ,2.5283364488834783e-09  ,9.827598228262513e-06
-2.8758366087816567e-06 ,2.0188386209188596e-09  ,9.269904571382326e-06
-2.5339551082415035e-06 ,1.6112405674625471e-09  ,8.85178125936692e-06
-2.2650908163002192e-06 ,1.2850522792467297e-09  ,8.545189389419505e-06
-2.054576347595982e-06  ,1.024177855301898e-09   ,8.327718362122205e-06
-1.8906919606320738e-06 ,8.154158813369025e-10   ,8.181459924469503e-06
-1.7640672655278022e-06 ,6.485208516184401e-10   ,8.092110440061084e-06
-1.6672190190913927e-06 ,5.149954891413141e-10   ,8.048230920251753e-06
-1.594162114815223e-06  ,4.0817879541798536e-10  ,8.040689870869588e-06
-1.540115614900861e-06  ,3.229095810398358e-10   ,8.062184647314452e-06
-1.5012600294850298e-06 ,2.545730518238952e-10   ,8.106879521851962e-06
-1.474538607534881e-06  ,2.001178331463874e-10   ,8.170117677883115e-06
-1.4575139220540656e-06 ,1.564264908133753e-10   ,8.248168627267294e-06
-1.4482325373654792e-06 ,1.2167995952546692e-10  ,8.338060682872017e-06
-1.4451375165980274e-06 ,9.37498856729923e-11    ,8.437412945400125e-06
-1.4469826760399318e-06 ,7.159929674063234e-11   ,8.544323214232374e-06
-1.4527715662404628e-06 ,5.373962896475293e-11   ,8.657277035875599e-06
-1.4617094305779954e-06 ,3.963558261604041e-11   ,8.775055763618478e-06
-1.4731594850242447e-06 ,2.820348240297225e-11   ,8.896694011703565e-06
-1.4866131971269514e-06 ,1.923543451773805e-11   ,9.02141493105968e-06
-1.5016659166144919e-06 ,1.193060467233441e-11   ,9.14859724608641e-06
-1.5179907348478183e-06 ,6.1357525628533106e-12  ,9.277750765562809e-06
-1.5353297799780563e-06 ,1.5464026143439789e-12  ,9.408474879388229e-06
-1.5534746961032297e-06 ,-2.205886267571061e-12  ,9.540458046838896e-06
-1.5722594667172407e-06 ,-5.135060083321657e-12  ,9.673445856839269e-06
-1.5915533214255762e-06 ,-7.568513345936051e-12  ,9.807234486319816e-06
-1.6112474340856942e-06 ,-9.445489387959318e-12  ,9.941667492713302e-06
-1.6312602796331177e-06 ,-1.1042897864697447e-11 ,1.0076610507808725e-05
-1.6515212288015224e-06 ,-1.2255752959865651e-11 ,1.0211965464218542e-05
-1.6719781097823683e-06 ,-1.3323550168805649e-11 ,1.0347647693559336e-05
-1.6925872509121476e-06 ,-1.4120465129482978e-11 ,1.0483589864274112e-05
-1.7133132464847156e-06 ,-1.4825017976465363e-11 ,1.061974378227526e-05
-1.7341300461576337e-06 ,-1.545883909895926e-11  ,1.0756062280431467e-05
-1.7550133585980676e-06 ,-1.5851475186549243e-11 ,1.0892516534577457e-05
-1.7759472416972732e-06 ,-1.635750466004912e-11  ,1.1029077373603258e-05
-1.796917224392014e-06  ,-1.6624379198391636e-11 ,1.1165721791606131e-05
-1.8179112434152378e-06 ,-1.702892009582726e-11  ,1.1302436986326825e-05
-1.838921273936145e-06  ,-1.721697033043344e-11  ,1.1439204229690692e-05
-1.859939285919765e-06  ,-1.7560625229071005e-11 ,1.1576017002606909e-05
-1.8809592928353824e-06 ,-1.7698752029980287e-11 ,1.1712864653873334e-05
-1.9019784375934323e-06 ,-1.800783506711743e-11  ,1.1849738145580657e-05
-1.922990121305812e-06  ,-1.81166594779005e-11   ,1.1986636686694974e-05
-1.9439944428517597e-06 ,-1.8373049230663662e-11 ,1.2123550333781319e-05
-1.9649867046001024e-06 ,-1.856471221960856e-11  ,1.2260480275125274e-05
