,Reward
0,463.4412701196105
1,1253.139211324607
2,888.6290854956878
3,857.0313836147302
4,1355.122703355889
5,1127.4455710043503
6,2345.0588330424002
7,746.0123232265663
8,592.4363499718305
9,976.930900873697
10,1549.401743318819
11,2196.9256452719405
12,347.0929197392491
13,2735.8258734386245
14,2820.296201529893
15,1141.2943073231131
16,3138.654350772084
17,2710.0457703687543
18,3442.1385027963524
19,4655.469326238721
20,2246.6784342493656
21,1234.1187924421968
22,2307.934638027242
23,6083.135756278082
24,6083.135756278082
25,6083.135756278082
26,468.21218463763546
27,6083.135756278082
28,6083.135756278082
29,6083.135756278082
30,6083.135756278082
31,6083.135756278082
32,6083.135756278082
33,6083.135756278082
34,6083.135756278082
35,6083.135756278082
36,6083.135756278082
37,6083.135756278082
38,6083.135756278082
39,6083.135756278082
40,6083.135756278082
41,6083.135756278082
42,6083.135756278082
43,6083.135756278082
44,6083.135756278082
45,6083.135756278082
46,6083.135756278082
47,6083.135756278082
48,6083.135756278082
49,6083.135756278082
50,6083.135756278082
51,6083.135756278082
52,6083.135756278082
53,6083.135756278082
54,6083.135756278082
55,6083.135756278082
56,6083.135756278082
57,6083.135756278082
58,6083.135756278082
59,6083.135756278082
60,6083.135756278082
